time,bar,dining bar,izakaya,spain bar/italian bar,western food,sweet,creation,creative japanese,grilled meat,international cuisine,italian and franch,japanese cuisine/kaiseki,japanese food in general,japanese style,japanese food,shabu-shabu/sukiyaki,amusement,korean cuisine,okonomiyaki/monja/teppanyaki,seafood,other,asian
2016/6/2,5,1,5,23,7,3,49,6,40,62,42,6,9,187,3,3,5,6,9,37,0,11
2016/6/20,5,1,1,27,5,3,35,10,41,84,37,4,6,167,2,5,5,6,4,34,0,11
2016/6/21,4,0,5,27,12,4,50,13,45,79,63,7,15,210,1,6,6,7,3,44,0,13
2016/6/22,3,1,3,50,7,3,70,16,69,120,69,8,13,246,2,7,10,11,6,51,0,18
2016/6/23,4,1,3,44,7,2,54,17,65,91,62,4,18,262,2,12,11,10,7,60,0,19
2016/6/24,8,1,4,86,15,8,165,31,121,263,131,21,34,668,2,21,15,18,19,103,0,34
2016/6/25,12,3,3,77,21,10,158,29,132,229,129,19,24,612,3,23,28,14,19,102,0,26
2016/6/26,4,0,4,42,10,9,65,14,102,120,69,11,10,246,1,10,13,11,13,33,0,19
2016/6/27,4,1,1,32,10,3,41,5,45,84,50,7,15,229,1,8,6,5,8,44,0,15
2016/6/28,6,1,2,39,3,5,43,17,57,107,71,4,4,235,2,8,11,8,5,39,0,14
2016/6/29,5,2,3,39,12,5,76,20,70,115,71,15,13,286,3,2,6,12,11,62,0,18
2016/6/3,12,1,5,73,13,4,117,20,100,175,93,8,21,476,3,14,18,13,17,87,0,30
2016/6/30,3,1,3,42,11,6,72,12,78,108,70,6,17,262,3,8,7,9,9,39,0,19
2016/6/4,16,3,5,57,18,8,123,25,108,191,97,14,23,441,3,15,17,15,20,84,0,19
2016/6/5,6,0,4,34,9,5,48,13,63,85,49,7,9,178,1,8,16,6,7,28,0,17
2016/6/6,1,2,3,25,6,2,42,5,35,63,47,5,7,147,3,7,6,8,5,32,0,8
2016/6/7,4,1,5,35,6,2,28,9,43,81,56,6,12,180,2,6,6,7,3,25,0,9
2016/6/8,3,2,5,41,7,7,47,8,53,96,56,8,13,210,3,10,4,14,10,45,0,17
2016/6/9,5,1,4,34,9,3,55,8,53,91,54,11,12,207,3,7,4,9,11,41,0,22
2016/7/1,11,5,8,67,11,5,113,21,108,198,92,11,29,519,3,8,12,15,16,97,1,22
2016/7/10,4,1,5,35,11,7,47,12,83,114,70,7,13,167,2,14,13,10,9,35,0,10
2016/7/11,2,3,4,34,8,3,32,6,46,77,43,8,12,171,1,10,5,7,8,32,0,5
2016/7/12,5,2,5,33,8,3,45,13,47,93,46,7,12,227,2,9,10,2,6,31,0,11
2016/7/13,5,2,5,53,10,2,57,8,57,127,72,12,14,257,2,9,10,7,5,48,0,27
2016/7/14,6,2,5,49,12,7,58,15,61,111,69,10,17,262,2,7,7,9,7,42,0,12
2016/7/15,15,3,7,86,21,10,137,23,116,216,106,17,30,629,1,13,16,15,12,106,0,25
2016/7/16,12,5,7,86,19,9,146,28,125,216,104,26,23,508,1,18,22,14,14,106,0,23
2016/7/17,12,2,6,60,13,11,96,19,105,152,85,17,18,371,0,15,16,15,10,72,0,22
2016/7/18,5,2,3,38,8,6,44,14,75,120,54,12,12,161,1,9,14,11,4,36,0,12
2016/7/19,2,1,1,32,8,5,60,14,52,81,51,7,19,225,0,6,4,10,5,35,0,15
2016/7/2,9,6,11,70,18,5,119,20,110,195,111,23,27,457,3,15,14,19,14,89,0,23
2016/7/20,2,4,2,43,6,4,62,9,59,112,67,10,20,313,1,7,9,7,12,53,0,19
2016/7/21,9,1,1,48,10,8,65,10,46,97,88,10,18,315,1,9,6,7,12,60,0,13
2016/7/22,11,2,1,85,15,8,152,29,119,226,104,14,28,606,1,18,20,20,16,113,0,26
2016/7/23,10,4,0,80,13,6,129,15,123,209,110,16,27,488,1,13,20,12,20,88,0,24
2016/7/24,9,2,1,34,6,7,48,11,72,105,58,11,17,192,0,8,13,11,10,39,0,17
2016/7/25,5,1,0,36,8,2,49,11,41,86,52,10,12,215,1,2,10,5,10,35,0,12
2016/7/26,2,0,0,44,5,4,55,17,69,112,46,7,15,247,1,9,7,8,5,41,0,12
2016/7/27,8,0,0,53,7,3,69,17,60,115,82,15,17,297,0,16,11,11,8,51,0,19
2016/7/28,5,0,0,58,12,5,53,11,74,144,58,14,24,298,0,9,11,9,16,65,0,21
2016/7/29,10,0,0,94,17,9,146,26,142,237,130,12,28,656,0,20,27,18,16,119,0,40
2016/7/3,7,3,6,37,12,4,48,11,64,79,63,13,8,183,1,7,13,7,9,31,0,8
2016/7/30,10,0,0,87,18,11,140,22,119,201,122,21,22,513,0,15,24,13,20,103,0,26
2016/7/31,5,0,0,38,6,6,64,8,77,112,66,11,12,212,1,14,21,11,8,37,0,17
2016/7/4,4,2,3,29,10,2,28,2,40,69,37,8,9,157,1,2,1,7,5,27,0,6
2016/7/5,5,0,6,23,6,4,46,7,44,66,51,6,10,197,1,5,7,14,5,40,0,11
2016/7/6,7,1,6,45,10,2,54,12,55,114,63,11,13,253,3,9,6,11,10,47,0,18
2016/7/7,4,1,9,38,10,3,48,7,49,96,60,9,13,213,2,4,8,11,9,36,0,12
2016/7/8,7,7,9,85,14,10,147,16,116,219,110,14,35,586,3,11,16,18,18,88,0,28
2016/7/9,11,7,8,84,21,8,121,26,129,211,113,16,34,516,3,19,20,18,17,100,0,22
2016/8/1,2,0,0,24,6,3,34,4,46,67,43,5,15,152,0,8,5,4,6,31,0,16
2016/8/10,10,0,0,89,13,8,140,20,105,199,106,14,27,543,0,11,16,14,18,99,0,34
2016/8/11,11,0,0,47,11,8,88,22,90,135,97,14,13,331,0,9,17,12,16,74,0,18
2016/8/12,12,0,0,70,16,7,107,23,127,185,99,15,29,518,0,18,17,14,17,93,0,26
2016/8/13,7,0,0,70,14,9,124,19,118,162,75,14,29,458,0,15,20,16,17,84,0,21
2016/8/14,7,0,0,56,10,6,95,14,109,134,69,16,14,339,0,17,11,11,12,73,0,21
2016/8/15,8,0,0,41,10,7,70,17,78,103,71,20,17,313,0,13,16,5,13,68,0,13
2016/8/16,8,0,0,43,9,6,77,16,79,96,62,10,11,269,0,10,8,10,9,55,0,12
2016/8/17,5,0,0,49,11,4,72,14,79,128,70,13,23,276,0,12,7,14,7,48,0,17
2016/8/18,6,0,0,48,10,5,55,17,71,116,65,10,20,284,0,9,8,12,12,57,0,10
2016/8/19,9,0,0,87,8,9,128,27,112,215,111,16,23,548,0,20,23,14,14,92,0,27
2016/8/2,5,0,0,38,5,3,34,5,54,82,60,7,10,217,0,6,10,6,8,41,0,13
2016/8/20,9,0,0,80,9,8,131,17,106,210,98,16,26,501,0,20,23,11,20,81,0,20
2016/8/21,6,0,0,45,8,10,63,10,77,98,61,12,7,223,0,7,14,9,14,38,0,12
2016/8/22,5,0,0,37,7,9,44,10,36,85,37,10,6,198,0,5,5,6,3,35,0,13
2016/8/23,2,0,0,42,8,6,64,11,57,124,69,6,15,265,0,9,8,5,7,45,0,10
2016/8/24,5,0,0,56,6,4,77,17,66,120,59,10,17,309,0,5,9,9,4,56,0,14
2016/8/25,7,0,0,45,9,6,63,10,81,129,74,14,17,308,0,12,8,15,7,54,0,19
2016/8/26,11,0,0,80,13,10,153,22,133,229,111,11,24,633,0,16,19,17,19,120,0,29
2016/8/27,8,0,0,81,12,9,147,20,123,215,115,20,23,579,0,19,27,16,21,90,0,33
2016/8/28,4,0,0,54,8,11,66,14,87,109,69,11,12,219,0,13,18,9,13,45,0,17
2016/8/29,5,0,0,32,7,6,63,8,67,98,47,5,17,208,0,11,9,9,8,32,0,8
2016/8/3,6,0,0,50,9,5,63,8,62,122,59,11,16,295,0,13,8,10,11,60,0,8
2016/8/30,3,0,0,51,9,5,50,8,66,87,52,8,13,217,0,13,11,6,4,42,0,9
2016/8/31,7,0,0,59,7,7,64,15,74,109,75,11,17,278,0,15,7,9,8,48,0,26
2016/8/4,5,0,0,36,11,1,75,14,72,109,60,14,24,277,0,14,7,10,4,54,0,15
2016/8/5,12,0,0,81,13,8,151,18,127,224,93,19,30,581,0,17,12,7,18,112,0,24
2016/8/6,10,0,0,71,16,9,112,22,95,189,89,15,30,480,0,18,23,13,13,93,0,25
2016/8/7,8,0,0,40,10,7,52,15,73,98,62,13,13,194,0,11,15,7,10,36,0,10
2016/8/8,3,0,0,37,10,4,52,10,63,102,48,12,12,230,0,13,17,3,7,44,0,14
2016/8/9,6,1,0,43,7,6,62,15,69,112,74,14,11,277,0,12,9,9,11,62,0,13
2016/9/1,2,0,0,39,6,2,51,3,39,99,44,9,11,222,0,8,5,8,7,34,0,6
2016/9/10,13,0,0,76,16,14,141,20,119,191,104,23,30,528,0,25,14,17,18,99,0,21
2016/9/11,5,0,0,47,10,7,60,6,79,91,67,13,12,222,0,12,16,12,7,34,0,14
2016/9/12,5,0,0,35,5,7,50,8,57,87,46,8,13,211,0,9,5,7,10,37,0,11
2016/9/13,5,0,0,43,6,2,58,11,52,96,51,14,13,236,0,8,7,8,7,43,0,14
2016/9/14,5,0,0,43,16,6,65,10,62,122,62,12,17,301,0,12,8,8,12,46,0,21
2016/9/15,2,0,0,50,9,6,63,6,76,117,65,12,22,304,0,15,4,10,11,59,0,20
2016/9/16,13,0,0,77,16,4,128,24,117,221,116,16,24,584,0,22,14,20,13,102,0,27
2016/9/17,12,0,0,84,18,10,133,18,133,194,101,24,31,528,0,20,21,15,20,113,0,24
2016/9/18,7,0,0,70,11,13,111,19,117,194,99,17,25,408,0,14,15,10,23,74,0,23
2016/9/19,2,0,0,43,9,10,65,13,68,105,75,9,18,223,0,11,12,10,11,32,0,24
2016/9/2,5,0,0,88,8,8,114,25,111,194,91,15,18,522,0,14,10,16,17,91,0,24
2016/9/20,5,0,0,35,5,5,53,7,57,98,57,9,17,243,0,7,8,9,11,44,0,16
2016/9/21,9,0,0,82,11,4,123,18,105,179,93,17,31,523,0,17,10,12,8,89,0,22
2016/9/22,3,0,0,46,15,5,61,13,89,122,77,8,12,244,0,11,14,11,14,50,0,18
2016/9/23,9,0,0,76,16,5,123,23,112,194,93,22,33,543,0,23,8,15,15,118,0,29
2016/9/24,12,0,0,83,17,12,134,24,119,213,111,17,23,564,0,26,28,17,15,95,0,27
2016/9/25,3,0,0,50,6,12,48,10,83,119,74,8,16,239,0,16,13,7,9,46,0,24
2016/9/26,4,0,0,35,7,6,58,10,55,101,67,12,17,270,0,14,7,8,11,51,0,16
2016/9/27,5,0,0,47,9,6,69,16,71,132,64,8,20,284,0,9,8,14,8,58,0,13
2016/9/28,4,0,0,50,11,5,79,18,73,122,79,13,20,350,0,18,7,11,15,62,0,15
2016/9/29,5,0,0,52,7,9,81,19,84,136,70,7,24,306,0,18,11,16,5,65,0,18
2016/9/3,7,0,1,77,16,10,138,18,125,193,104,19,23,465,0,26,28,16,17,89,0,28
2016/9/30,6,0,0,81,11,12,138,23,130,240,108,18,39,654,0,23,18,18,13,106,0,39
2016/9/4,3,0,0,33,10,8,52,9,83,103,67,14,13,212,0,7,14,11,6,23,0,16
2016/9/5,7,0,0,37,6,5,47,8,55,67,49,6,14,175,0,11,10,6,2,34,0,13
2016/9/6,4,0,0,36,7,3,35,10,53,86,47,7,13,206,0,17,5,6,13,38,0,8
2016/9/7,3,0,0,45,8,4,65,18,54,95,59,10,14,301,0,7,8,4,9,53,0,22
2016/9/8,8,0,0,42,8,3,70,12,63,111,56,14,16,255,0,10,10,7,13,34,0,14
2016/9/9,11,0,0,80,11,9,131,24,115,206,109,19,28,594,0,26,13,17,15,117,0,28
2017/1/1,2,2,10,26,5,0,76,8,76,74,31,11,14,314,2,23,15,5,8,69,0,20
2017/1/10,4,10,35,47,12,10,75,14,74,98,74,10,19,291,10,16,8,16,16,51,1,12
2017/1/11,3,13,41,52,14,8,87,18,76,141,97,13,24,358,14,23,8,18,11,65,1,16
2017/1/12,8,16,39,62,17,8,76,23,72,138,95,14,25,394,15,17,13,23,13,74,1,18
2017/1/13,16,23,60,100,15,16,203,32,141,282,148,24,42,805,14,32,19,33,25,143,2,43
2017/1/14,19,19,56,106,24,22,198,38,163,277,161,26,39,792,11,37,29,29,26,149,1,30
2017/1/15,10,12,28,68,16,17,90,16,107,142,101,14,27,324,5,18,18,16,13,65,1,26
2017/1/16,8,13,35,47,13,10,70,15,63,121,77,11,15,322,13,12,14,19,17,54,1,10
2017/1/17,3,16,41,56,17,8,69,15,75,122,96,11,19,358,13,18,7,22,10,67,2,21
2017/1/18,7,14,48,62,12,11,91,18,89,167,103,20,32,429,16,22,9,18,16,85,2,20
2017/1/19,9,11,39,62,15,11,101,16,99,172,112,19,25,427,15,18,8,19,11,71,2,21
2017/1/2,10,6,24,61,13,8,133,22,138,162,93,19,29,565,1,29,19,12,10,112,0,31
2017/1/20,16,24,58,121,18,16,206,37,150,307,157,31,52,871,15,38,25,28,19,165,2,39
2017/1/21,18,26,50,119,23,21,222,39,174,317,183,26,46,848,16,41,40,29,25,163,2,41
2017/1/22,9,11,33,68,16,17,83,16,114,171,117,19,25,328,9,24,22,23,16,72,1,19
2017/1/23,2,14,34,46,16,11,62,15,70,124,82,17,21,308,11,15,9,11,12,70,0,21
2017/1/24,7,13,40,59,17,8,86,18,83,140,100,10,27,381,11,19,9,22,18,72,1,17
2017/1/25,8,19,42,65,17,12,112,23,100,183,114,15,33,475,16,21,9,23,17,90,1,33
2017/1/26,12,14,45,71,18,12,97,19,97,173,121,16,33,476,14,26,11,28,20,96,2,20
2017/1/27,19,21,66,126,23,12,204,41,187,342,185,29,47,981,15,45,26,36,27,182,2,48
2017/1/28,19,23,57,127,25,20,220,38,191,336,194,30,56,901,15,37,31,37,32,169,1,36
2017/1/29,12,11,30,73,14,16,97,23,147,165,120,19,29,366,6,22,19,23,16,67,1,27
2017/1/3,11,9,23,67,9,10,126,21,126,158,96,17,26,499,4,29,13,20,20,84,0,24
2017/1/30,8,13,35,56,13,8,87,9,96,145,78,8,22,329,11,18,11,19,19,65,1,22
2017/1/31,8,14,40,55,15,12,86,17,105,151,103,16,27,413,12,20,8,20,19,69,2,22
2017/1/4,9,11,32,48,14,11,92,12,96,142,80,18,26,376,4,19,11,15,13,62,1,16
2017/1/5,6,9,36,39,15,8,90,9,81,128,86,15,21,339,10,25,11,14,17,61,1,18
2017/1/6,12,21,54,89,15,11,131,19,105,212,123,14,36,614,13,28,12,28,21,127,0,21
2017/1/7,22,20,50,85,30,19,167,33,126,237,131,19,39,677,10,29,30,24,29,124,1,18
2017/1/8,12,12,45,85,23,18,138,21,136,211,121,22,38,571,10,29,31,23,21,101,1,24
2017/1/9,8,8,24,52,16,17,92,14,97,145,105,9,16,344,7,18,30,21,15,62,0,17
2017/2/1,9,10,38,48,10,13,84,16,83,155,95,15,23,386,15,17,6,15,15,68,1,14
2017/2/10,19,23,60,138,22,9,211,46,183,325,172,25,52,908,16,33,23,32,28,171,2,43
2017/2/11,19,19,56,122,25,20,190,36,194,307,176,29,46,788,10,39,36,31,31,148,2,39
2017/2/12,4,10,33,73,21,19,86,17,133,173,124,18,26,326,7,20,19,21,17,59,1,26
2017/2/13,7,10,35,50,16,12,71,14,81,145,88,11,21,296,12,12,9,13,11,60,1,14
2017/2/14,9,14,37,64,18,11,76,17,89,180,129,15,21,353,13,29,12,21,14,67,1,11
2017/2/15,12,14,48,79,15,12,108,21,116,196,136,14,26,470,15,21,13,20,17,96,1,28
2017/2/16,7,15,47,78,19,12,90,25,109,184,120,15,33,478,16,23,10,20,18,88,1,25
2017/2/17,17,23,58,122,22,17,189,34,171,342,191,25,50,891,17,36,26,35,30,164,2,40
2017/2/18,21,23,58,131,30,25,209,43,202,325,188,33,44,845,15,38,35,35,41,155,2,33
2017/2/19,5,9,37,79,15,20,97,15,148,188,128,20,22,394,7,30,23,24,22,76,1,24
2017/2/2,7,16,44,44,10,10,85,14,82,144,105,18,28,365,14,18,13,23,13,63,2,14
2017/2/20,10,14,40,65,17,12,88,13,89,160,112,16,19,321,12,22,6,21,13,70,1,22
2017/2/21,8,17,42,72,16,10,100,16,110,182,103,15,35,418,13,23,10,19,17,78,1,21
2017/2/22,11,12,48,83,14,12,117,27,115,220,136,17,29,510,15,23,10,23,25,91,1,25
2017/2/23,10,13,45,82,16,13,93,21,106,204,147,10,37,482,17,22,13,20,17,94,1,19
2017/2/24,18,19,56,134,22,18,210,49,188,353,208,26,43,970,14,39,34,36,37,200,2,45
2017/2/25,24,22,54,134,29,25,218,36,200,351,186,37,48,883,16,34,34,32,33,162,1,43
2017/2/26,5,12,35,75,24,23,103,21,157,207,137,23,22,470,5,25,21,21,26,79,1,25
2017/2/27,10,11,35,72,17,11,91,17,103,165,103,10,26,415,12,22,14,21,14,86,0,20
2017/2/28,8,18,40,69,20,12,92,18,106,186,124,12,23,457,12,19,21,27,20,78,2,23
2017/2/3,20,17,54,110,18,13,179,29,155,276,157,23,40,745,16,37,24,26,25,135,3,35
2017/2/4,17,25,51,110,27,16,211,30,173,290,176,27,52,770,14,37,24,30,29,152,2,30
2017/2/5,7,13,33,58,15,17,92,23,121,173,114,16,23,303,5,21,21,18,17,52,0,16
2017/2/6,6,10,36,45,12,11,69,14,73,130,73,11,18,315,9,20,5,18,14,67,0,13
2017/2/7,7,15,33,62,11,8,76,23,83,156,96,17,29,354,12,23,14,22,16,69,1,22
2017/2/8,12,13,41,65,11,11,84,24,116,166,117,14,25,419,15,22,9,18,15,82,2,20
2017/2/9,8,12,48,69,12,11,89,21,115,184,113,12,33,441,14,26,10,26,24,68,1,19
2017/3/1,9,12,44,65,18,8,79,17,105,168,106,14,25,391,12,17,14,16,22,69,3,19
2017/3/10,17,21,60,147,25,17,206,37,180,368,200,24,55,959,16,37,33,34,23,179,3,45
2017/3/11,18,27,54,134,25,25,224,36,203,364,196,29,49,894,15,33,41,35,29,176,2,49
2017/3/12,10,13,32,71,19,22,108,24,145,218,146,17,28,436,8,26,28,24,22,75,1,28
2017/3/13,8,14,37,69,16,15,87,23,100,174,111,18,23,440,12,20,20,15,13,81,0,25
2017/3/14,10,20,44,85,21,17,114,24,111,214,133,18,37,466,14,27,14,18,18,99,1,16
2017/3/15,17,18,48,98,24,11,131,24,139,245,139,19,31,622,16,25,23,22,25,110,2,36
2017/3/16,15,16,49,107,19,19,137,26,108,251,147,17,31,577,13,22,21,30,17,110,2,29
2017/3/17,23,20,55,144,22,15,239,45,209,391,197,36,43,1035,16,34,32,37,33,202,2,45
2017/3/18,24,23,47,143,29,26,230,39,199,370,195,28,49,898,15,39,48,37,33,183,2,40
2017/3/19,19,20,47,118,23,26,183,32,208,317,182,36,40,713,8,35,29,37,30,153,1,39
2017/3/2,7,13,37,58,17,8,91,24,98,173,108,12,23,436,11,23,11,17,16,63,1,25
2017/3/20,9,17,29,81,24,18,121,20,146,224,135,22,17,451,6,17,29,28,27,73,0,24
2017/3/21,8,14,38,75,17,10,117,23,115,224,131,15,34,528,9,23,14,23,12,91,2,27
2017/3/22,16,21,52,105,17,12,147,31,124,282,156,24,39,653,14,31,17,22,20,127,2,37
2017/3/23,14,18,49,104,19,21,141,22,127,284,157,23,35,651,14,26,27,19,20,131,2,30
2017/3/24,19,19,65,152,22,20,253,43,221,430,211,36,51,1157,16,42,40,37,31,222,2,52
2017/3/25,19,24,60,139,28,26,249,36,216,394,209,25,45,931,13,40,47,37,35,207,2,38
2017/3/26,8,13,35,103,20,20,123,23,151,258,146,22,29,507,7,29,26,25,26,89,1,25
2017/3/27,13,19,41,89,21,15,119,18,119,218,112,19,36,568,12,27,26,22,22,121,0,22
2017/3/28,11,19,49,104,26,16,136,32,134,248,146,21,29,632,12,31,18,33,20,141,2,32
2017/3/29,10,22,51,108,21,14,162,34,169,299,167,26,33,752,12,36,27,27,29,155,2,45
2017/3/3,18,18,49,124,20,14,188,31,182,312,175,28,41,769,16,32,20,30,28,138,2,38
2017/3/30,18,20,47,102,21,15,140,30,151,276,154,13,34,694,14,34,24,28,28,145,2,31
2017/3/31,21,22,63,151,23,20,223,34,207,388,200,25,45,1065,14,40,33,39,26,208,1,55
2017/3/4,22,21,55,136,27,26,200,34,191,343,179,34,45,807,16,38,28,30,32,149,2,40
2017/3/5,9,9,39,74,21,20,87,22,138,201,121,19,22,369,7,19,27,20,22,60,1,22
2017/3/6,8,12,33,58,17,9,78,17,90,142,101,16,19,344,12,14,9,17,9,74,0,19
2017/3/7,6,16,37,71,15,9,74,23,89,186,113,14,29,402,13,19,10,19,11,92,1,24
2017/3/8,15,17,43,89,13,12,106,22,108,213,141,16,26,514,14,20,13,16,13,79,2,20
2017/3/9,10,19,49,77,21,11,108,22,108,200,134,12,34,475,14,22,7,25,19,90,1,21
2017/4/1,15,21,52,109,28,23,189,33,180,295,171,23,34,807,11,33,36,32,34,168,2,35
2017/4/10,9,12,35,63,16,6,73,14,74,152,90,12,16,358,10,18,6,19,17,85,0,19
2017/4/11,5,9,37,64,10,9,92,17,92,169,98,12,22,392,14,21,10,19,16,76,2,21
2017/4/12,10,13,42,78,18,11,114,22,107,185,131,11,29,505,13,24,18,20,22,110,2,30
2017/4/13,10,11,45,79,17,12,82,23,94,195,129,16,24,520,14,19,9,21,19,87,1,17
2017/4/14,14,19,67,146,23,16,235,43,174,381,197,23,44,1038,17,37,34,37,29,216,3,50
2017/4/15,25,23,57,141,30,23,220,37,193,367,204,33,42,862,13,37,36,39,31,171,2,44
2017/4/16,11,9,30,79,20,20,98,23,132,198,145,24,15,420,10,28,24,30,20,80,1,27
2017/4/17,5,14,25,65,18,11,90,17,73,157,103,10,17,384,9,15,6,22,12,66,0,28
2017/4/18,12,17,41,78,15,15,101,19,88,190,118,16,26,483,14,19,5,23,15,90,1,20
2017/4/19,9,14,41,75,20,13,126,29,105,237,164,14,33,574,16,18,13,29,23,119,2,21
2017/4/2,4,10,30,61,22,20,89,22,132,171,115,17,16,319,5,19,16,24,21,68,1,24
2017/4/20,14,16,47,75,15,17,120,17,109,213,132,14,34,555,15,25,11,26,17,124,3,35
2017/4/21,26,21,66,156,24,17,243,45,188,411,206,32,51,1112,16,32,32,40,35,220,2,45
2017/4/22,19,21,58,154,29,21,224,45,201,390,217,32,43,935,17,37,32,35,38,185,3,45
2017/4/23,10,10,21,67,17,17,86,19,117,216,135,22,17,326,6,15,19,25,18,69,0,25
2017/4/24,4,8,25,47,15,11,63,11,60,148,74,10,14,344,11,14,5,9,9,73,0,10
2017/4/25,6,10,37,51,9,10,54,16,63,145,95,11,14,345,8,14,6,19,13,74,1,22
2017/4/26,5,11,27,64,13,5,71,19,74,170,103,13,18,330,11,11,6,14,7,72,1,25
2017/4/27,6,11,27,31,7,10,55,15,62,135,77,11,19,321,8,14,6,14,12,80,1,23
2017/4/28,8,12,43,92,16,11,167,22,111,247,116,16,37,679,11,18,25,21,21,134,2,35
2017/4/29,8,12,33,87,20,13,105,26,101,206,117,17,22,415,6,19,17,20,20,92,2,23
2017/4/3,12,15,30,49,14,9,82,11,81,159,107,10,22,412,11,17,13,21,15,84,0,19
2017/4/30,5,4,12,35,6,10,23,6,53,81,61,8,9,140,3,9,10,11,5,26,1,13
2017/4/4,9,12,36,62,11,12,71,18,106,153,109,11,22,395,11,15,8,16,21,82,1,24
2017/4/5,9,13,41,75,18,11,93,19,107,188,120,15,16,469,13,22,18,19,13,83,2,16
2017/4/6,8,14,42,74,13,14,82,18,100,169,128,16,28,474,12,17,9,25,17,108,2,26
2017/4/7,19,23,61,131,20,19,208,36,172,344,189,23,40,945,16,30,33,33,27,186,2,47
2017/4/8,18,20,56,127,27,23,211,38,185,340,183,28,40,797,12,37,31,34,32,161,2,38
2017/4/9,8,10,29,71,19,21,99,18,136,183,129,15,20,369,5,21,24,24,18,70,1,28
2017/5/1,2,6,8,18,6,1,22,3,19,43,26,9,7,90,4,6,3,3,3,18,0,2
2017/5/10,0,3,4,7,4,0,6,5,9,24,16,1,5,37,3,1,1,3,1,11,0,2
2017/5/11,0,2,4,0,0,1,2,3,3,17,13,2,2,24,4,1,1,1,0,9,1,4
2017/5/12,3,5,15,13,5,2,21,9,23,42,27,6,6,122,5,2,2,3,3,30,0,6
2017/5/13,2,1,10,22,6,3,21,3,14,37,38,9,8,94,2,2,4,6,5,19,0,3
2017/5/14,2,1,2,4,3,1,4,4,4,16,14,4,3,19,1,1,4,2,2,2,0,0
2017/5/15,0,0,3,3,0,1,5,1,2,7,7,2,1,13,1,0,0,1,0,3,0,0
2017/5/16,0,1,4,2,0,1,8,2,2,4,7,1,2,16,1,1,0,1,1,3,0,2
2017/5/17,0,0,3,3,2,1,5,1,3,11,10,2,3,17,2,2,1,2,1,5,0,1
2017/5/18,0,4,1,3,2,0,1,0,2,5,9,1,0,15,0,0,0,1,0,3,0,2
2017/5/19,0,1,4,9,2,0,20,2,9,32,13,10,4,49,3,0,0,4,0,15,0,1
2017/5/2,1,5,20,26,6,3,44,11,35,59,44,4,4,177,4,7,4,10,9,39,0,11
2017/5/20,0,5,4,4,4,5,9,5,9,26,13,3,2,48,0,3,2,4,0,10,2,0
2017/5/21,1,1,1,3,1,2,0,1,5,8,8,3,1,8,1,0,3,3,0,2,0,2
2017/5/22,0,0,0,1,1,0,1,0,1,0,4,0,0,3,0,1,0,0,0,3,0,1
2017/5/23,0,0,1,2,1,1,1,0,0,0,2,0,2,5,1,0,0,0,2,1,0,0
2017/5/24,0,0,1,4,1,0,1,0,2,7,5,0,2,10,0,1,0,0,1,0,0,1
2017/5/25,0,0,0,1,0,0,1,0,1,2,0,0,3,5,2,1,1,0,1,2,0,1
2017/5/26,1,3,4,5,1,0,2,2,5,18,7,2,1,30,1,2,2,0,0,7,0,1
2017/5/27,1,2,4,6,2,1,9,1,4,16,15,5,0,41,1,2,4,1,2,2,0,2
2017/5/28,0,0,1,1,0,1,1,2,1,4,5,2,0,10,1,0,1,2,0,4,0,3
2017/5/29,0,1,0,1,3,0,2,0,2,2,0,0,0,2,0,0,0,0,0,1,0,1
2017/5/3,5,6,16,28,10,7,35,16,40,79,59,13,15,177,4,12,9,12,12,40,0,11
2017/5/30,0,0,1,0,0,0,0,0,1,3,1,1,0,2,0,0,0,0,0,0,0,2
2017/5/31,0,0,0,2,2,1,0,2,0,1,4,0,1,4,2,1,0,0,0,2,0,1
2017/5/4,4,5,15,17,12,6,26,6,25,52,36,13,7,127,5,8,4,7,7,30,0,11
2017/5/5,2,4,9,18,8,3,29,4,27,46,34,10,4,78,3,4,2,7,7,32,0,6
2017/5/6,6,5,12,18,4,4,25,11,30,51,39,6,6,97,3,3,6,5,7,24,0,6
2017/5/7,0,2,3,6,5,2,8,1,6,22,15,1,1,23,2,1,1,2,1,8,0,3
2017/5/8,1,4,3,6,1,1,5,2,4,11,13,3,3,23,2,0,1,2,1,7,0,0
2017/5/9,1,0,3,8,0,0,3,3,2,6,10,4,8,32,2,5,0,2,3,6,0,3
